date,lat,lon,gps,pressur,speed,external,internal,o-date,o-lat,o-lon,o-gpsalt,o-pressurealt,o-speed,o-externaltemp,o-internaltemp
1440691815250,52.17651999999999,11.715210000000004,38.8,59.88375000000002,0,21.84499999999999,27.45361328125,1440691819437.5,52.17651999999999,11.715210000000004,38.803125,59.885,0,21.84499999999999,27.667236328125
1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.77666666666667,0,21.840555555555554,27.17556423611111,1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.791666666666664,0,21.840555555555554,27.501085069444443
1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.714210526315796,0,21.843157894736834,27.1484375,1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.69263157894736,0.1105263157894737,22.325789473684218,27.30263157894737
1440691884700,52.17650999999999,11.715219999999995,38.77,59.7115,0,21.863500000000002,27.197265625,1440691884700,52.17650999999999,11.715219999999995,38.77,59.50949999999999,0.1365,22.02750000000001,27.4169921875
1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.51411764705883,0,21.95058823529412,27.1484375,1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.56529411764706,0.01764705882352941,21.95058823529412,27.378216911764707
1440691929454.5454,52.17648272727272,11.71521136363637,40.29999999999998,59.389090909090896,0.035,21.99,27.1484375,1440691929454.5454,52.17648272727272,11.196337727272732,40.29999999999998,59.34727272727271,0.0931818181818182,22.09772727272727,27.1484375
1440691951720,52.17648,11.715210000000006,40.383999999999986,59.40799999999999,0.015600000000000001,21.95,27.1484375,1440691951720,52.17648,11.715210000000006,40.383999999999986,59.31119999999998,0.0292,22.514800000000008,27.3828125
1440691971052.6316,52.17647999999998,11.715210000000006,40.763157894736835,59.325789473684225,0.020526315789473684,22.00052631578947,27.1484375,1440691971052.6316,52.17647999999998,11.715210000000006,25.263157894736853,59.325789473684225,0.020526315789473684,22.19421052631579,27.276932565789473
1440691987333.3333,52.17648303030305,11.715225454545454,42.390909090909076,59.33030303030302,0.16515151515151524,21.889999999999997,27.1484375,1440691987333.3333,52.1764721212121,11.715225454545454,42.79090909090907,27.283030303030287,0.7969696969696967,21.91424242424242,27.192826704545453
1440692010400,52.17650000000001,11.715239999999996,42.72800000000001,59.359999999999985,0,21.659200000000002,27.1484375,1440692010400,52.17650000000001,11.715239999999996,37.68600000000001,59.457599999999985,0,21.659200000000002,26.9921875
1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.27999999999999,0,21.502857142857152,26.974051339285715,1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.34535714285712,0,21.502857142857152,27.0263671875
1440692050714.2856,52.17649714285716,11.715239999999996,42.60000000000001,59.31142857142856,0,21.50285714285715,26.729910714285715,1440692050714.2856,52.17649714285716,10.413062857142853,42.60000000000001,59.28714285714285,0,21.3747619047619,26.636904761904763
1440692074777.7778,52.17649000000002,11.715239999999996,42.64444444444446,59.449999999999996,0,21.549999999999997,26.822916666666668,1440692074777.7778,52.17649000000002,6.095662222222218,42.64444444444446,59.449999999999996,0,21.525555555555552,26.85004340277778
1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.670588235294105,0,21.534705882352945,26.717601102941178,1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.670588235294105,0,21.71117647058824,26.97610294117647
1440692110476.1904,52.17649000000002,11.715239999999996,42.733333333333356,60.75619047619047,0,21.574761904761903,26.846168154761905,1440692110476.1904,52.17649000000002,11.715239999999996,22.916666666666668,60.75619047619047,0.26142857142857145,21.609523809523804,27.218191964285715
1440692127565.2173,52.17649000000003,11.715239999999996,42.700000000000024,60.77826086956521,0,21.5595652173913,26.936141304347824,1440692127565.2173,52.17649000000003,11.715239999999996,42.85652173913046,58.23739130434783,0.006086956521739131,21.5595652173913,27.31827445652174
1440692142000,52.176489999999994,11.715239999999996,42.25454545454546,60.94727272727273,0,21.53272727272727,26.970880681818183,1440692142000,52.176489999999994,11.657923636363636,42.26363636363637,60.94727272727273,0,21.53272727272727,26.837713068181817
1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.79257142857142,0,21.531999999999986,27.064732142857142,1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.23399999999999,0,21.89542857142856,27.162388392857142
1440692191578.9473,52.17649000000002,11.715239999999996,42,60.807894736842115,0.005263157894736842,21.53052631578947,26.968544407894736,1440692191578.9473,52.17649000000002,11.715236842105258,42,61.08789473684211,0.13789473684210524,21.88105263157895,26.81435032894737
1440692210210.5264,52.17649000000002,11.715239999999996,42,60.79421052631579,0.04105263157894737,21.533684210526314,27.1484375,1440692210210.5264,52.17649000000002,11.715229999999996,42,60.79421052631579,0.26368421052631574,21.7621052631579,27.225534539473685
1440692227454.5454,52.176496818181825,11.715237613636363,42.10454545454547,61.00545454545454,0.004545454545454546,21.5790909090909,27.126242897727273,1440692227454.5454,52.176496818181825,11.715234431818182,42.10454545454547,60.99363636363636,0.022272727272727277,21.72454545454545,27.215021306818183
1440692248037.037,52.17650000000002,11.715236500000001,41.92962962962962,61.42777777777777,0.03333333333333333,21.603703703703697,27.40162037037037,1440692248037.037,52.17650000000002,11.715236500000001,42.00185185185185,61.42777777777777,0.22259259259259262,21.709629629629642,27.510127314814813
1440692269909.0908,52.176510909090915,11.715237454545456,41.38636363636362,61.47590909090911,0.015454545454545455,21.57863636363637,27.436967329545453,1440692269909.0908,52.176510909090915,11.715237454545456,41.38636363636362,85.76636363636361,0.4227272727272726,21.61272727272728,27.614524147727273
