date,gps,pressure,speed,lat,lon,external,internal
1440691852.0,38.8,59.95,0.0,52.17652,11.71521,21.86,27.63671875
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.86,27.63671875
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.86,27.63671875
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.86,27.63671875
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.86,27.1484375
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.86,27.1484375
1440691852.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.61,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.7,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.83,27.1484375
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.83,27.63671875
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.83,27.63671875
1440691858.0,38.8,59.78,0.0,52.17652,11.71521,21.82,27.63671875
1440691865.0,38.8,59.78,0.0,52.17652,11.71521,21.82,27.63671875
1440691865.0,38.8,59.61,0.0,52.17652,11.71521,21.82,27.63671875
1440691865.0,38.8,59.61,0.0,52.17652,11.71521,21.82,27.63671875
1440691865.0,38.8,59.61,0.0,52.17652,11.71521,21.84,27.63671875
1440691865.0,38.8,59.61,0.0,52.17652,11.71521,21.84,27.63671875
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,21.84,27.63671875
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.42,27.63671875
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.42,27.63671875
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.55,27.63671875
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.8,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691865.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.61,0.35,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.61,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.53,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.53,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.53,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.53,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.78,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.87,0.0,52.17652,11.71521,22.55,27.1484375
1440691873.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691877.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691877.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.55,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.14,27.1484375
1440691878.0,38.7,59.87,0.0,52.17651,11.71522,22.13,27.1484375
1440691878.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.1484375
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.1484375
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.1484375
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.1484375
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.63671875
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.63671875
1440691882.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.63671875
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.63671875
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.13,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.07,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.07,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.05,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.02,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.02,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.02,27.1484375
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,22.02,27.63671875
1440691885.0,38.7,59.36,0.0,52.17651,11.71522,21.99,27.63671875
1440691885.0,38.7,59.53,0.0,52.17651,11.71522,21.99,27.63671875
1440691885.0,38.7,59.53,0.0,52.17651,11.71522,21.99,27.63671875
1440691885.0,38.7,59.53,0.0,52.17651,11.71522,22.01,27.63671875
1440691885.0,38.7,59.45,0.0,52.17651,11.71522,22.01,27.63671875
1440691885.0,38.7,59.45,0.39,52.17651,11.71522,22.01,27.63671875
1440691885.0,38.7,59.45,0.39,52.17651,11.71522,21.98,27.63671875
1440691885.0,38.7,59.53,0.39,52.17651,11.71522,21.98,27.63671875
1440691885.0,38.7,59.53,0.39,52.17651,11.71522,21.98,27.63671875
1440691885.0,38.7,59.7,0.39,52.17651,11.71522,21.98,27.63671875
1440691885.0,38.7,59.7,0.39,52.17651,11.71522,21.98,27.1484375
1440691885.0,38.7,59.87,0.39,52.17651,11.71522,21.98,27.1484375
1440691885.0,39.4,59.87,0.39,52.17651,11.71522,21.98,27.1484375
1440691885.0,39.4,59.87,0.0,52.17651,11.71522,21.98,27.1484375
1440691885.0,39.4,59.87,0.0,52.17651,11.71522,21.98,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.98,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.1484375
1440691907.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.87,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.45,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.45,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.45,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.45,0.0,52.17651,11.71522,21.96,27.63671875
1440691912.0,39.4,59.45,0.0,52.17651,11.71522,21.97,27.63671875
1440691912.0,39.4,59.53,0.0,52.17651,11.71522,21.97,27.63671875
1440691912.0,39.4,59.53,0.0,52.17651,11.71522,21.94,27.63671875
1440691912.0,39.4,59.61,0.0,52.17651,11.71522,21.94,27.63671875
1440691912.0,39.4,59.36,0.0,52.17651,11.71522,21.94,27.63671875
1440691912.0,39.4,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.7,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.7,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.85,59.7,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.4,59.7,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.4,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,39.4,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.0,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.0,59.36,0.0,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.0,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691912.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691925.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691925.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691925.0,40.3,59.36,0.15,52.17651,11.71522,21.94,27.1484375
1440691925.0,40.3,59.28,0.15,52.17651,11.71522,21.94,27.1484375
1440691925.0,40.3,59.28,0.15,52.17648,11.71521,21.94,27.1484375
1440691927.0,40.3,59.28,0.15,52.17648,11.71521,21.94,27.1484375
1440691927.0,40.3,59.28,0.15,52.17648,11.71521,21.94,27.1484375
1440691927.0,40.3,59.28,0.0,52.17648,11.71521,21.94,27.1484375
1440691927.0,40.3,59.28,0.0,52.17648,11.71521,21.96,27.1484375
