date,lat,lon,gps,pressure,speed,external,internal,o-date,o-lat,o-lon,o-gpsalt,o-pressurealt,o-speed,o-externaltemp,o-internaltemp,o-o-date,o-o-lat,o-o-lon,o-o-gpsalt,o-o-pressurealt,o-o-speed,o-o-externaltemp,o-o-internaltemp,o-o-o-date,o-o-o-lat,o-o-o-lon,o-o-o-gpsalt,o-o-o-pressurealt,o-o-o-speed,o-o-o-externaltemp,o-o-o-internaltemp
1440691815250,52.17651999999999,11.715210000000004,38.8,59.90000000000001,0,21.84499999999999,27.45361328125,1440691815250,52.17651999999999,11.715210000000004,38.8,59.90000000000001,0,21.84499999999999,27.45361328125,1440691815250,52.17651999999999,11.715210000000004,38.8,59.905000000000015,0,21.84499999999999,27.45361328125,1440691815250,52.17651999999999,11.715210000000004,38.8,59.91000000000002,0,21.84499999999999,27.484130859375
1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.82444444444445,0,21.837222222222216,27.17556423611111,1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.82444444444445,0,21.83666666666666,27.17556423611111,1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.75500000000001,0,21.83666666666666,27.17556423611111,1440691851555.5557,52.17651999999999,11.715210000000006,38.79999999999999,59.82444444444445,0,21.837222222222216,27.17556423611111
1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.72736842105264,0,21.837894736842095,27.1484375,1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.618947368421054,0,21.83999999999999,27.1484375,1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.72736842105264,0,21.83999999999999,27.1484375,1440691870894.7368,52.17651684210526,11.715213157894734,38.73684210526317,59.7184210526316,0,21.837894736842095,27.1484375
1440691884700,52.17650999999999,11.715219999999995,38.77,59.77450000000001,0,21.845999999999997,27.1484375,1440691884700,52.17650999999999,11.715219999999995,38.77,59.649000000000015,0,21.845999999999997,27.1484375,1440691884700,52.17650999999999,11.715219999999995,38.77,59.7405,0,21.844499999999996,27.1484375,1440691884700,52.17650999999999,11.715219999999995,38.77,59.795,0,21.844499999999996,27.1484375
1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.567647058823525,0,21.90352941176471,27.1484375,1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.567647058823525,0,21.90352941176471,27.1484375,1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.492941176470595,0,21.90705882352941,27.1484375,1440691911117.647,52.17651,11.715219999999997,39.57647058823528,59.52352941176471,0,21.901764705882353,27.1484375
1440691929454.5454,52.17648272727272,11.715213181818187,40.29999999999998,59.37727272727272,0,21.983636363636364,27.1484375,1440691929454.5454,52.17648272727272,11.715213181818187,40.29999999999998,59.37727272727272,0,21.9940909090909,27.1484375,1440691929454.5454,52.17648272727272,11.715213181818187,40.29999999999998,59.38499999999999,0,21.983636363636364,27.1484375,1440691929454.5454,52.17648272727272,11.715213181818187,40.29999999999998,59.36999999999998,0,21.983636363636364,27.1484375
1440691951720,52.17648,11.715210000000006,40.383999999999986,59.37359999999998,0,21.9492,27.1484375,1440691951720,52.17648,11.715210000000006,40.383999999999986,59.37359999999998,0,22.029999999999987,27.1484375,1440691951720,52.17648,11.715210000000006,40.383999999999986,59.38039999999997,0,21.9492,27.1484375,1440691951720,52.17648,11.715210000000006,40.383999999999986,59.35399999999998,0,21.95,27.1484375
1440691971052.6316,52.17647999999998,11.715210000000006,40.699999999999996,59.35578947368421,0,21.993157894736843,27.1484375,1440691971052.6316,52.17647999999998,11.715210000000006,40.699999999999996,59.351578947368424,0,22.02999999999999,27.1484375,1440691971052.6316,52.17647999999998,11.715210000000006,40.699999999999996,59.33894736842105,0,21.993157894736843,27.1484375,1440691971052.6316,52.17647999999998,11.715210000000006,40.699999999999996,59.33894736842105,0,21.993157894736843,27.1484375
1440691987333.3333,52.17648303030305,11.715225454545454,42.369696969696946,59.33878787878784,0.04999999999999999,21.893030303030297,27.1484375,1440691987333.3333,52.17648303030305,11.715225454545454,42.369696969696946,59.33878787878784,0.04999999999999999,21.905454545454543,27.1484375,1440691987333.3333,52.17648303030305,11.715225454545454,42.369696969696946,59.32909090909088,0.04999999999999999,21.890606060606057,27.1484375,1440691987333.3333,52.17648303030305,11.715225454545454,42.369696969696946,59.33393939393936,0.04999999999999999,21.8930303030303,27.1484375
1440692010400,52.17650000000001,11.715239999999996,42.60000000000001,59.32279999999997,0,21.659200000000002,27.1484375,1440692010400,52.17650000000001,11.715239999999996,42.60000000000001,59.32279999999997,0,21.659200000000002,27.1484375,1440692010400,52.17650000000001,11.715239999999996,42.60000000000001,59.32279999999997,0,21.659200000000002,27.1484375,1440692010400,52.17650000000001,11.715239999999996,42.60000000000001,59.339199999999984,0,21.659200000000002,27.1484375
1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.28857142857141,0,21.502857142857152,27.1484375,1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.28857142857141,0,21.502857142857152,27.1484375,1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.28857142857141,0,21.502857142857152,27.1484375,1440692026857.1428,52.17650000000002,11.715239999999996,42.6,59.28857142857141,0,21.502857142857152,27.1484375
1440692050714.2856,52.17649714285716,11.715239999999996,42.60000000000001,59.310476190476166,0,21.500476190476192,26.706659226190474,1440692050714.2856,52.17649714285716,11.715239999999996,42.60000000000001,59.2990476190476,0,21.445714285714278,26.706659226190474,1440692050714.2856,52.17649714285716,11.715239999999996,42.60000000000001,59.2990476190476,0,21.49857142857143,26.706659226190474,1440692050714.2856,52.17649714285716,11.715239999999996,42.60000000000001,59.2990476190476,0,21.49857142857143,26.706659226190474
1440692074777.7778,52.17649000000002,11.715239999999996,42.64444444444446,59.36,0,21.55722222222222,26.66015625,1440692074777.7778,52.17649000000002,11.715239999999996,42.64444444444446,59.36,0,21.55722222222222,26.66015625,1440692074777.7778,52.17649000000002,11.715239999999996,42.64444444444446,59.36,0,21.55722222222222,26.66015625,1440692074777.7778,52.17649000000002,11.715239999999996,42.64444444444446,59.36,0,21.56277777777777,26.66015625
1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.679999999999986,0,21.591176470588238,26.66015625,1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.679999999999986,0,21.63,26.66015625,1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.679999999999986,0,21.580588235294126,26.66015625,1440692087882.353,52.176490000000015,11.715239999999996,42.70000000000001,59.679999999999986,0,21.580588235294126,26.66015625
1440692110476.1904,52.17649000000002,11.715239999999996,42.70000000000002,60.402857142857144,0,21.556666666666665,26.66015625,1440692110476.1904,52.17649000000002,11.715239999999996,42.70000000000002,60.402857142857144,0,21.622380952380947,26.66015625,1440692110476.1904,52.17649000000002,11.715239999999996,42.70000000000002,60.402857142857144,0,21.562857142857137,26.66015625,1440692110476.1904,52.17649000000002,11.715239999999996,42.70000000000002,60.399047619047614,0,21.560476190476187,26.66015625
1440692127565.2173,52.17649000000003,11.715239999999996,42.700000000000024,60.87,0,21.569999999999997,26.74507472826087,1440692127565.2173,52.17649000000003,11.715239999999996,42.700000000000024,60.87,0,21.569999999999997,26.74507472826087,1440692127565.2173,52.17649000000003,11.715239999999996,42.700000000000024,60.87695652173913,0,21.569999999999997,26.74507472826087,1440692127565.2173,52.17649000000003,11.715239999999996,42.700000000000024,60.87304347826087,0,21.569130434782608,26.74507472826087
1440692142000,52.176489999999994,11.715239999999996,42.25454545454546,60.95,0,21.547272727272727,27.1484375,1440692142000,52.176489999999994,11.715239999999996,42.25454545454546,60.95,0,21.547272727272727,27.1484375,1440692142000,52.176489999999994,11.715239999999996,42.25454545454546,60.93545454545454,0,21.547272727272727,27.1484375,1440692142000,52.176489999999994,11.715239999999996,42.25454545454546,60.89181818181819,0,21.547272727272727,27.1484375
1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.83028571428567,0,21.529999999999983,27.1484375,1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.83742857142853,0,21.529999999999983,27.1484375,1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.830571428571396,0,21.530285714285696,27.1484375,1440692170314.2856,52.17649000000004,11.715239999999996,42.01428571428573,60.83199999999997,0,21.53057142857141,27.1484375
1440692191578.9473,52.17649000000002,11.715239999999996,42,60.84894736842104,0,21.52999999999999,27.1484375,1440692191578.9473,52.17649000000002,11.715239999999996,42,60.84894736842104,0,21.52999999999999,27.1484375,1440692191578.9473,52.17649000000002,11.715239999999996,42,60.835789473684194,0,21.52999999999999,27.1484375,1440692191578.9473,52.17649000000002,11.715239999999996,42,60.83526315789472,0,21.52999999999999,27.1484375
1440692210210.5264,52.17649000000002,11.715239999999996,42,60.861578947368415,0,21.52999999999999,27.1484375,1440692210210.5264,52.17649000000002,11.715239999999996,42,60.861578947368415,0,21.52999999999999,27.1484375,1440692210210.5264,52.17649000000002,11.715239999999996,42,60.85263157894736,0,21.52999999999999,27.1484375,1440692210210.5264,52.17649000000002,11.715239999999996,42,60.85263157894736,0,21.52999999999999,27.1484375
1440692227454.5454,52.176496818181825,11.715237613636363,42.07727272727274,60.932272727272704,0,21.529999999999987,27.1484375,1440692227454.5454,52.176496818181825,11.715237613636363,42.07727272727274,60.932272727272704,0,21.528181818181807,27.1484375,1440692227454.5454,52.176496818181825,11.715237613636363,42.072727272727285,60.943636363636344,0,21.528181818181807,27.1484375,1440692227454.5454,52.176496818181825,11.715237613636363,42.06363636363637,60.916818181818165,0.0009090909090909091,21.528181818181807,27.1484375
1440692248037.037,52.17650000000002,11.715236500000001,41.94444444444444,61.42777777777777,0,21.529999999999987,27.256944444444443,1440692248037.037,52.17650000000002,11.715236500000001,41.94444444444444,61.42777777777777,0.0014814814814814814,21.529259259259245,27.256944444444443,1440692248037.037,52.17650000000002,11.715236500000001,41.940740740740736,61.42777777777777,0.0014814814814814814,21.529629629629614,27.256944444444443,1440692248037.037,52.17650000000002,11.715236500000001,41.940740740740736,61.38999999999999,0.0022222222222222222,21.529259259259245,27.256944444444443
